id,college_name,survey_year,name,hostel_type,intake_capacity,students_residing
1195,"Anand College of Education, Anand",2015,Anand Hostel VIP,Girls Hostel,30,30
44216,Smt. Mankaranabai Vinayakrao Marathe Women's College of Education,2015,Marathe Girls Hostel,Girls Hostel,30,0
52112,CT INSTITUTE OF ARCHITECTURE AND PLANNING,2015,CTIT BOYS HOSTEL,Boys Hostel,366,290
20958,"Cauvery B.Ed. College, No.3/1, Kodigehalli Main Road, Sahakaranagar, Bangalore --92",2015,Cauvery Hostel for Boys,Boys Hostel,150,10
6768,KKM COLLEGE OF EDUCATION PILVAI,2015,K B HOSTEL,Girls Hostel,100,0
6896,MAHILA EDUCATION COLLEGE UNJHA,2015,J.M.G.Kanya chatarlaya,Girls Hostel,100,6
20890,"St. Aloysius Degree College, St. Aloysius PU Campus, Cox Town, Bangalore -05",2015,Aloysian Nilaya,Boys Hostel,70,6
1165,"Sardargunj Mercantile Co. Op. Bank Ltd. (Anand) English Medium College of Commerce & Management, Vallabh Vidyanagar",2015,Square,Girls Hostel,70,36
1165,"Sardargunj Mercantile Co. Op. Bank Ltd. (Anand) English Medium College of Commerce & Management, Vallabh Vidyanagar",2015,Bhaikaka,Boys Hostel,203,134
918,"SHRI M.B. GARDI COLLEGE OF EDUCATION, MANGROL",2015,shardagram boyshostel,Boys Hostel,300,0
43643,"Younus College of Engineering for Women, Thalachira, Kottarakkara, Kollam",2015,Boys Hostel,Boys Hostel,50,0
984,VIVEKANAND INSTITUTE OF HOTEL & TOURISM MANAGEMENT -RAJKOT,2015,KUTEERAM,Girls Hostel,20,10
18169,"Athwale Social Work, Chimur",2015,ATHAWALE COLLEGE BOYS HOSTEL,Boys Hostel,20,12
9300,C425 Sha Bra Mahanta Shivachary Swamyji Degree college,2015,SMT.SUBHADRAMMA B RESHMI GIRLS HOSTEL,Girls Hostel,40,40
46333,"COLLEGE OF AGRICULTURE, WAGHAI",2015,SABRI GIRLS HOSTEL,Girls Hostel,108,54
18175,"Dr Babsaheb Ambedkar Arts Commerce College, Brahmapuri",2015,Dr Babasaheb Ambedkar College Boys Hostel Bramhapuri,Boys Hostel,30,20
43174,"Vidyabharati College of Pharmacy , C.K. Naydu Road , Camp, Amravati",2015,Pratibha Girls Hostel Camp Amravati,Girls Hostel,242,242
32866,National Power Training Institute,2015,Boys Hostel,Boys Hostel,130,120
45687,"INDIRA COLLEGE OF NURSING (Inst. Code - 316), TIRUCHIRAPALLI",2015,ndira college hostel,Boys Hostel,100,12
6108,Smt. N. H. L. Municipal Medical College,2015,NHL - Girls Hostel,Girls Hostel,180,120
45009,"C536 Reshmi Degree College, Gulbarga",2015,SRI. BASALINGAPPA RESHMI BOYS HOSTEL,Boys Hostel,40,35
45009,"C536 Reshmi Degree College, Gulbarga",2015,SMT.SUBHADRAMMA B RESHMII GIRLS HOSTEL,Girls Hostel,40,35
29225,"Guru Nanak College of Nursing, VPO Dhahan Kaleran,Distt. Nawanshahr",2015,M.Sc.(N) & Post-Basic B.Sc.(N) (Only For Girls),Girls Hostel,76,17
29225,"Guru Nanak College of Nursing, VPO Dhahan Kaleran,Distt. Nawanshahr",2015,B.Sc.(N) (Only for Girls),Girls Hostel,200,188
29225,"Guru Nanak College of Nursing, VPO Dhahan Kaleran,Distt. Nawanshahr",2015,GNM (Only for Girls),Girls Hostel,200,184
166,"B and B Institute of Technology,Vallabh Vidhyanagar - GIA 604",2015,BBIT GIRLS HOSTEL,Girls Hostel,48,18
33551,Sahyadri Shikshan Sansthas B.A. Alias Bhaisaheb Sawant Adhyapak Mahavidyalaya Sawarde Taluka Chiplun Dist. Ratnagiri,2015,Savitribai Phule Vidyarthini Vastigruh Sawarde,Girls Hostel,25,5
422,"B and B Institute of Technology,Vallabh Vidhyanagar (SFI) 605",2015,NEW C HOSTEL,Boys Hostel,175,23
975,M.J.GORIYA ARTS & COMMERCE COLLEGE-JAMKHAMBHALIYA,2015,GIRLS HOSTEL,Girls Hostel,210,180
34533,"Vaidyanath College of Arts,Science & Commerce, Parli-Vaijnath.",2015,GIRLS HOSTEL,Girls Hostel,20,0
50779,SUKLA DEVI ACADEMY FOR B ED,2015,SDA Boys Hostel,Boys Hostel,20,2
34226,"G.B. TATHA TATYASAHEB KHARE COMMERCE, PARVATIBAI GURUPAD DHERE ARTS & SHRI MAHESH JANARDAN BHOSALE SCIENCE COLLEGE, GUHAGAR ,DIST.:-RATNAGIRI-415703",2015,Smt.Laxmibai Laxman Shete Women's Hostel,Girls Hostel,40,15
197,"SHRI SADVIDHYA MANDAL INSTITUTE OF TECH., BHARUCH 045",2015,Virtual Homes Boys Hostel,Boys Hostel,270,140
16479,Central Institute of Plastics Engineering and Technology,2015,CIPET Boys Hostel,Boys Hostel,300,300
1000,"VIRANI SCI. & SHRI YOGIJI MAHARAJ ARTS, COMMERCE & SCIENCE - RAJKOT",2015,Atmiya Girls Hostel,Girls Hostel,50,50
1000,"VIRANI SCI. & SHRI YOGIJI MAHARAJ ARTS, COMMERCE & SCIENCE - RAJKOT",2015,K K Mehta Boys Hostel,Boys Hostel,100,100
25326,S.G.S. (SMT. GENTELA SAKUNTALAMMA) COLLE,2015,SGS College Women's Hostel,Girls Hostel,100,0
41865,"Pimpri Chinchwad Education Trusts S.B.Patil Institute of Management, S.No. 26,Pradhikaran, Nigdi,Pune 411044",2015,Pimpri Chinchwad Education Trust's boys Hostel,Boys Hostel,290,125
11009,"College of Engineering, KARAD",2015,C,Boys Hostel,180,143
11009,"College of Engineering, KARAD",2015,Jijaoo Girls Hostel,Girls Hostel,240,240
30529,"College of Life Sciences, Visakhapatnam",2015,Cls Girls Hostel,Girls Hostel,200,121
50322,SHREE KRISHNA SCIENCE COLLEGE,2015,Shree Krishna Sciences College,Boys Hostel,30,14
13923,"Bhaisaheb Sawant Ayurved Mahavidyalaya, Sawantwadi, Dist. Sindhudurga",2015,"B.S.AYURVED COLLEGE,SAWANTWADI",Girls Hostel,50,45
50011,"PRAVARA RURAL EDUCATION SOCIETY'S COLLEGE OF ARCHITECTURE, MOHU, SINNAR",2015,Mount View,Boys Hostel,250,10
50011,"PRAVARA RURAL EDUCATION SOCIETY'S COLLEGE OF ARCHITECTURE, MOHU, SINNAR",2015,Girls,Girls Hostel,300,15
34291,"Ransamrat Krida Mandal's College of Physical Education, Kallam.",2015,Shri Sambhaji Hostel Kallam,Boys Hostel,120,64
6304,Dream Institute of Technology 209,2015,DIT BOY'S HOSTEL,Boys Hostel,70,64
6304,Dream Institute of Technology 209,2015,DIT GIRL'S HOSTEL,Girls Hostel,30,11
40565,Sri Sharada College of Nursing,2015,Vishwabharathi Girls Hostel,Girls Hostel,150,100
40322,Rajeev College of Nursing,2015,Girls Hostel,Girls Hostel,500,300
6820,SHRI SVT COLLEGE OF EDUCATION,2015,adarsh hostel,Boys Hostel,50,0
45055,"SMT K K PATEL MCA COLLEGE, PATAN 555",2015,UMIYA CHHATRALAYA,Girls Hostel,100,0
39633,"SaralaMahavidyalaya,Rahama, Jagatsinghpur",2015,WOMENS' HOSTEL,Girls Hostel,50,0
14549,St. John De Britto College of Education,2015,Agnes Girl Hostel,Girls Hostel,30,28
130,School of Engineering,2015,BLOCK A,Girls Hostel,112,105
130,School of Engineering,2015,BLOCK B,Girls Hostel,152,0
130,School of Engineering,2015,BLOCK C,Girls Hostel,112,0
130,School of Engineering,2015,BLOCK C,Boys Hostel,232,0
130,School of Engineering,2015,BLOCK A,Boys Hostel,312,222
130,School of Engineering,2015,BLOCK B,Boys Hostel,308,80
46801,"KUNWAR HARI BANSH SINGH COLLEGE OF PHARMACY, JAUNPUR",2015,Kunwar Haribash Singh Boys hostel,Boys Hostel,40,18
49516,D L PATEL INSTITUTE OF PGDCA COLLEGE,2015,Vivekanand Boys Hostel,Boys Hostel,30,0
49516,D L PATEL INSTITUTE OF PGDCA COLLEGE,2015,Sarsawati Girls Hostel,Girls Hostel,30,0
6657,SMT S B PATEL INSTITUTE OF BUSINESS MANAGEMENT,2015,NOOTAN GIRLS HOSTEL,Girls Hostel,250,8
25266,"Sri Balaji College of Engineering & Technology,Jaipur",2015,Boys Hostel 1,Boys Hostel,123,76
25266,"Sri Balaji College of Engineering & Technology,Jaipur",2015,Boys Hostel 2,Boys Hostel,117,83
25266,"Sri Balaji College of Engineering & Technology,Jaipur",2015,Girls Hostel,Girls Hostel,150,14
25266,"Sri Balaji College of Engineering & Technology,Jaipur",2015,Boys Hostel 4,Boys Hostel,96,28
51705,"KOTHARI MAHILA MAHAVIDYALAY,MANDRELLA",2015,GIRLS HOSTEL,Girls Hostel,35,0
27690,"Global Institute of Advance Study in Education, Palamaner",2015,Mother Theresa Women's Hostel,Girls Hostel,100,5
40560,Adichunchanagiri College of Nursing,2015,ADICHUNCHANAGIRI COLLEGE OF NURSING,Boys Hostel,50,30
28639,Munna Lal Jai Narayan Khemkha Girls College Saharanpur Mob.No.9412231163 0132-2658187,2015,A. Kamla Hostel,Girls Hostel,32,28
137,"K.V.VIRANI INSTITUTE OF PHARMACY AND RESEARCH CENTRE, BADHADA 253",2015,Matushree S.V.Virani Boys Hostel,Boys Hostel,120,14
